,Tweets
57,Tune in now at https://t.co/W5W2wYFfxt for our one-hour Good Friday service. #GoodFriday https://t.co/4W0g6ka9gZ
58,"RT @RichardGrenell: It’s Friday and hope is lost....

Death seems to have won,
Judas has betrayed Him,
His best friend denied Him,
His moth…"
59,"RT @Kofie: ""Aye bro you tryna see Citizen Kane this Friday?""

""Nah bro I can't. I got drafted"""
60,"RT @SheilaGunnReid: Good Friday at GraceLife. Heavy police presence just off church property. 

This is grotesque https://t.co/3vJVWC4rQV"
61,"RT @jaehyeongbald: ✨ friday: skin care day ✨ 
#BlackRoseSelcaDay #brsd #TheRoseSound #TheRose @TheRoseSound https://t.co/OnolPx9ZQS"
62,I actually got to watch #TheFalconAndTheWinterSoldier on a Friday ❤️🤍💙
63,"RT @SugarSkullTea: Batch 15 WIP

#1 and #5 have already been pre-claimed! (Pre-claims are only available on my Patreon for the Sugar-addict…"
64,RT @Sexy_kittykat13: Drop ur fkkn handles 4a Fkkn Friday boost bitches 😆
65,RT @kydesro: Good Friday Liturgy in the Room Where it Happened™️ https://t.co/DAAkOm6khk
66,RT @soieange: Friday mood https://t.co/d2NsKwurlT
67,RT @JohnFugelsang: This Good Friday remember that if there was no Death Penalty Jesus might still be around.
68,"RT @NZArmy: Firepower Friday💥 Join our soldiers in a virtual training area as they fire a Javelin Medium Range Anti Armour Weapon.

Don’t f…"
69,RT @desusnice: It's Friday. Avoid the bookings beloved
70,"RT @im_the_chunk: Hey, it's Bandcamp Friday again—I have $-0.02 right now, and would super super appreciate even one album sale so I don't…"
71,friday night funkin corruption https://t.co/JJ190EeIjA
72,RT @MrAndyNgo: The man responsible for the deadly Good Friday Capitol Hill attack was a devout follower of Louis Farrakhan &amp; the black nati…
73,"RT @scn_widow: Friday night sushi, jelly beans, and prosecco. Does it get any better than that??"
74,@wingedisis Did you start with ROYGBIV or assign colors based on personality (I’m sorry I’m very interested in this… https://t.co/LUP4EFNDgN
75,Johnny's Friday evening kip https://t.co/qXJMmjG5NW
76,RT @XMISHACROSSX: Happy Friday🌱 https://t.co/1KgpBANsRJ
77,RT @CynthiaSchwind: 🎉🎉Friday Night Raffle 🎉🎉Follow author @frankcottrell_b &amp; retweet by 6pm 4/3 for a chance to win #SputniksGuideToLifeOnE…
