,monday_tweets,friday_tweets,april_tweets
88,"RT @dallasschools: This Friday, April 2 and next Monday, April 5 will remain inclement weather off days for students and campus staff. Thes…","RT @T_S_P_O_O_K_Y: There is no doubt that Noah Green, aka Noah X, was radicalized...
Today's date - Good Friday - and several other clues i…","RT @A100888: $ 40 🎹 Rp 540,000 🎹 1,840 PhP

🔸RT,Like,Follow me and 

@Xenos_Giveaway

🔸Turn notifs on for both of us 🔔

🔸Post Proof ! 

🔈En…"
89,@t_kennarddd @BettePorter_CA Beautiful words tina have a great monday,"RT @HeadbandRoyce: JERSEY GIVEAWAY!
For hitting 1k followers I’m going to be giving away this new Jordan Clarkson jersey to you guys!
All y…","RT @SlowNewsDayShow: LOS ANGELES!!! SATURDAY APRIL 10TH 2:30pm

***** MEDIA EVENT *****

The organizers of #WeAreAllAssange and #FuckCensor…"
90,"RT @_PapiAce: I met this one girl on Monday, we talked all day and and the next and she wanted pizza from Chicago so that weekend I flew us…",Friday vibez https://t.co/HUiBLQxQOo,RT @thaboyjozu: It’s April but the only fool is me
91,RT @DiamondPearlNWS: Happy Monday Pokémon Trainers! Which game would you like to experience for the first time again? Let us know! #Pokemon…,"RT @k4z1m1r_: If you guys couldn’t tune in, that’s alright. We’ll (@realisotop3 and I) will be back next Friday 5pm EDT.","RT @WeareARES1: ARES are proud to host a big giveaway to our dear followers and investors.

1 winners will be rewarded 1BNB if they:

Follo…"
92,RT @Si_m_1xo: A young man missing from the Kensal Road/Ladbrooke Grove area since monday. Please share. https://t.co/eYQtFJxeen,Took 5 tries but we got one finally. Good Friday Jesus dies for you and me and by his grace we are saved! https://t.co/xVkEOoJtCU,RT @Twitter: a thread of funny april fools' jokes:
93,@Emilee_Cloud monday funday.,RT @abidickson01: today has been the most saturdayest Friday I’ve experienced,RT @ericiskz: april fools but my life been a joke 🥲
94,RT @Laughs_4_All: Happy Monday! 😂😬🤦‍♂️🔊 https://t.co/tfKNjmN0mr,RT @CynthiaSchwind: 🎉🎉Friday Night Raffle 🎉🎉Follow author @MelissaRoske &amp; retweet by 6pm 4/3 for a chance to win #KatGreeneComesClean 🧡🧹🧡🧹🧡…,RT @igbopassing: a really funny april fools joke would be me raising enough money to buy a car and driving to the other end of the country…
95,I absolutely love the Boogie Squad Community! l Motor Monday l !350 l !commands l #Boogie Bros.  https://t.co/sJBTzfjJ4Z,RT @Timodc: My take on Georgia. The entire existence of the legislation in question is premised on a pernicious lie. And pretty much everyo…,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
96,RT @diarrasylla: Cuz it’s Monday 🧡 https://t.co/JxF5NWKUdu,"RT @Milliganreports: Me “perhaps” (perhaps, perhaps, perhaps) deleting tweets is brought to you by the same peeps that had me tailing the C…","RT @AvauKLclm79rDSq: DIMASH BE WITH ME 
DIMASH GOLDEN MV
DIMASH KIELI MEKEN

#DimashBeWithMe
#DimashQudaibergen

On April 2 on the official…"
97,"MELODY MONDAY!!! LET'S GOOOOO!!! 

https://t.co/wvWIFzmoiw

#twitch #twitchaffiliate #VocalHaven… https://t.co/Z4QeZ0cKzQ","RT @HarbRimah: 5 machine learning skills you need in the cloud  https://t.co/r3mqHe6lx2  
#MachineLearning #DataScience #Python #AI #100Day…",RT @dearra: April baby 🔥 https://t.co/EwX97utG3l
98,"RT @_PapiAce: I met this one girl on Monday, we talked all day and and the next and she wanted pizza from Chicago so that weekend I flew us…",RT @GatorsDaily: ITS FLAT FUCK FRIDAY!!!! https://t.co/t8BE2CGF8F,i suck at april fools I can’t Lie
99,"RT @jilevin: 911 dispatcher testifies officers pinned down George Floyd for so long she thought her video feed had frozen: ""My instincts we…",RT @saracoolpants: friday fit https://t.co/z5DtAaDNm0,"RT @billboard: .@BTS_twt's J-Hope tried to pull an #AprilFoolsDay prank, but was caught red-""headed"" 

https://t.co/dUgAE3iCTJ"
100,"RT @Biggity04: Monday Stack Sale
Lot 11
$0.50 each 

1-4 cards $1 PWE
5+ cards $4 BMWT
@HobbyConnector @Hobby_Connect @sports_sell https://…",RT @SVegasWrestling: @SVegasWrestling Episode 28 live streaming tomorrow (Friday) at 6PM UK time on the Skeg Vegas Wrestling YouTube channe…,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
101,RT @thatslydell: Money makin Monday !,"RT @BerkshireEagle: NORTH ADAMS, Mass. — The Capitol Police officer killed on Friday grew up in northern Berkshire County and graduated fro…",@bladeoffire1 @Rockies that was umps all game 🥱  april fools win in my book
102,RT @RTDNEWS: Mounting tension over three competing casino proposals for Richmond boiled over Monday ahead of three community meetings sched…,"RT @baddaddyt: Happy Friday, Old Sport. https://t.co/zFgCg2hJ8D","RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
103,"RT @ManoloBellon: #TodayInHistory #Monday #StaySafe -1975 – The instrumental #BlowByBlow, debut studio album by Jeff Beck is released. @roc…","RT @onefinancefreak: Love me some Friday shoutouts!!

@Budgetdog_ 
@MidnightUDog 
@AdamShoup 
@financeman_ 
@JanineTaverner 
@AFC_FinanceFa…","RT @Kuuttituutti: A Bleppy preview of my piece for @kipozine 

Remember that the pre-orders are still open until 18th of April! So get your…"
104,"RT @manni_best: ♫ JAZZ MONDAY ♫ 
AndreasRohdin (MrGamer) - @AndreasRohdin
Song ~ Jazz Party ~ 
https://t.co/AYDj8IyGDR
#AndreasRohdin(MrGam…",The man who died on Friday after attacking barricades around the US Capitol has been identified as 25-year old Noah… https://t.co/MhHpJ5Gbe2,RT @saimbtw: Anime fans just feel pain on April fools https://t.co/EcuBkmNr4j
105,"RT @thenikkidiaries: Richard Okorogheye, 19, has been missing from his home in Ladborke Grove since Monday, March 22.

He told his mum he w…","RT @TheSamAcho: A beautiful Friday: 

Today is the most important day in the world. A Good Friday. 

Jesus died today: a villains death, so…",funny little april fools joke
106,RT @Stacy_Haiduk: Today try not to stress over things you have no control over!  Enjoy your Monday! Love &amp; Light! Xoxo🤗👑❤️ https://t.co/Rbt…,"RT @fakeshoredrive: Happy GOOD Friday

Here’s your yearly reminder that we still need every GOOD Friday release on every streaming platform…","RT @TheOracleReadsU: April will be a month of rebirth, regrowth and renewal."
107,"RT @lilbluberries: ♡ hi friends! these are the last three items from my friday update, id love to find them their forever homes! ♡

✨ any r…","RT @DannyBate4: In the names for Good Friday in spoken European languages, there's a lot of variety - I've so far found four common adjecti…","RT @joaanado: ✨TGID: THANK GOD IT’S DOYOUNG DAY✨

📆 Friday, 2 April 2021
🐰 Theme: Doyoung &amp; Gongmyung

Dongdong brother's💙

#NCT도영 #DOYOUNG…"
108,RT @diarrasylla: Cuz it’s Monday 🧡 https://t.co/JxF5NWKUdu,"RT @TomsTweeters: #ClimateStrikeOnline #DigitalStrike for #FridaysForFuture

Today would really be a Good Friday if the false promises, cle…","*not April Fools*
Today marks six years since the day I was fired and burgled. Shoutout to the colleague  who took… https://t.co/WsdD9jxfFd"
109,"RT @Jonesieman: A judge ruled Monday that New York must offer vaccination to those incarcerated in the state's prisons and jails. 

She sai…","RT @Paula_White: Our Great Friday service begins in an hour. ""For God so loved the world that he gave his one and only Son..."" Join us 7pm…",@gyllenotter Ain't even April Fool's here any more
110,"I'm listening to ""Monday On The Rocks"" with the totally badass @Shamas_Maximus LIVE now on @RockOnTheRise radio.… https://t.co/sNjl0V0hrV",RT @Brad_D1988: Happy Friday everyone ☀️ https://t.co/umFkI2BtBs,"RT @milkstrology: 💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐
people doing april fools pranks: aquarius, gemini, pisces, aries, virgo, sagittarius

people…"
111,"RT @NAkufoAddo: On Monday, 29th March 2021, I participated in the “Focus Africa 2023” Conference, being held in Madrid, Spain. 1/4 https://…","RT @konkrumah: Good Friday in my beloved constituency Ofoase/Ayirebi.

Had the opportunity to replicate the love of Christ  by supporting t…",RT @boodlebrain: It’s April 2021 which means my dad has been carrying this drawing of Chibi Usa I made in his wallet for twenty years strai…
112,"Pistons will start Lee, Ellington, Bey, Grant, Plumlee on Monday.",RT @tilewa__: How’s your Good Friday going ?🤓 https://t.co/n1wWIFSa2b,"RT @rose_dark1843: @InsaneIdiot2 Insane idiot cancelled, April 1, 2021"
113,"RT @PercyRover: I’ve got a helicopter doing yoga stretches while hanging off my undercarriage, how’s your Monday going? https://t.co/xU4mm6…","RT @vmaderna: ✨Doing a lil' giveaway to celebrate 12k Twitter peeps!✨
I'll make a custom postcard-size painting of your favorite animal (ex…","RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
114,"RT @helloiammariam: Saw this on Instagram just now and I’m sharing here. 

19 year old Richard Okorogheye has been missing since Monday.…","RT @RichardGrenell: It’s Friday and hope is lost....

Death seems to have won,
Judas has betrayed Him,
His best friend denied Him,
His moth…","RT @alxndra_vio: April, pls be good to our mental health."
115,RT @CTMirror: The Connecticut Supreme Court issued a unanimous opinion Monday providing the legal rationale behind the terse order released…,RT @JJKPerfectShots: The first Friday without Jujutsu Kaisen... https://t.co/390WQgVjOx,RT @thaboyjozu: It’s April but the only fool is me
116,@ImFeanix Issa monday 🤷🏻‍♂️ at least it’s almost over 😩,"Just a Friday night watching Seaspiracy with my partner and criticizing it!

So far besides our conclusion that thi… https://t.co/rADeTyZ4CS",RT @nuhwa: i do not eat ass APRIL FOOLS
117,@TimOnTheTractor @ShaveJohn And it Monday no less. ❤️,"RT @Sflecce: “For God so loved the world that He gave His only Son, so that everyone who believes in Him may not perish but may have eterna…",@PettiTree @rondarouseyszn 100% not an April Fool’s Joke. Just don’t know if he lost his role as senior official or his entire job.
118,"RT @DNPthree: Like this tweets for $100 - winner chosen in 60 minutes at start of stream.

Tonight we’re doing giveaways and one lucky view…",RT @GatorsDaily: ITS FLAT FUCK FRIDAY!!!! https://t.co/t8BE2CGF8F,"RT @Serotoninnt: By the way, since its april fools and all, people might try to make you click on some link. Of course it'll probably be a…"
119,Are you ready for Monday night Raw  #WWERAW,"Love learning from @lesliefisher and @followdaniella on a Friday night about @CanvaEdu !! Yes, there was alot of fu… https://t.co/83Rpnt94H0",@Lavonna_oh_nana No and is not an April Fools joke btw
120,"RT @Biggity04: Monday Stack Sale
Lot 10
$0.50 each 

1-4 cards $1 PWE
5+ cards $4 BMWT
@HobbyConnector @Hobby_Connect @sports_sell https://…","RT @JennaEllisEsq: Amazing day with @realDailyWire! 

Excited to join @MattWalshBlog and @robbystarbuck with @RealCandaceO FRIDAY on her ne…","RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
121,"WWE Monday Night RAW Results for March 29, 2021 https://t.co/R0cqrVkZvL https://t.co/5rEk1enQL9","RT @DNPthree: Like this tweet for $100 - winner chosen in 70 minutes at start of stream.

Stream starts at 9:00PM EST. 

Happy Friday",RT @MikkuSushi: no april fools jokes from me...just Nessa drawings https://t.co/lJ795BE5Gd
122,"RT @ButterflyLove_8: 🐰GREAT MONDAY MORNING🐰

     Be There For Others,

      But Never Leave

        Urself Behind.
                 -Dod…","Updates and posts are the focus for this month.

After Easter...i need to get my mind right.

Blessed Good Friday.",RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
123,"RT @louiseanixon2: if I cannot work due to my severe mental illnesses, I have to live on $310 a week and be on a 5 month wait list for psyc…",@lovemesomemusk Hi Danielle I was thinking about ordering a Tesla Model Y long range one my apartment does not have… https://t.co/uE5FRS377J,"RT @HermaineM: BREAKING NEWS:
The finger that retweets this will receive good news this month of April 🙏❤️"
124,"RT @bitcoinzay: Monday’s are for EDUCATION 📚

The Gentlemen of Crypto 
📺 10am ET | YouTube  
🔴 Daily News Show 

Black Bitcoin Billionaire…","@TxxsBeaut If you do get sass,. Ignore it. Enjoy your Friday",This is the shit I have to deal with on April 1: https://t.co/RErap55fyu
125,"RT @skzinbbl: [210330 0:41-42 i.n bubble]

: y/n hi
: did you listen to MIROH for your monday?

: very good

#StrayKids #I_N",RT @inquirerdotnet: The Philippines and three other countries have been added to Britain’s red list “to protect the country against new var…,RT @SuperStacey318: Happy Thursday! April is starting off pretty good. Woke up to a full MS ask from a publisher. That’s five publishers wh…
126,"It's only monday. If you want to see my tits, you gotta wait until tomorrow.","RT @charts_k: 'Film Out' has been added to Spotify's New Music Friday playlist at #10 in the US 

https://t.co/1rYBtjGdBt https://t.co/kEwI…",RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
127,"RT @ArianeGermer: Good morning friends💗☕
Nice Monday and a happy new week everyone...🍀🌲☀🌲

#photography #natur #forest
#sunshine 

~ Forest…","RT @NT_Photo2: At the half, it’s Oregon 14, Mendota 6. Additional photos will be posted on Friday Night Drive. Check out the aerial photo f…",RT @campaignwhereu: Shouldn't have expected anything for April Fools' day because this account has never posted a joke before and that will…
128,@Wewillrocku66 @The_Brastard @ManeatGrass @soccermomgta @SusansMusicPage @Katy_Ann_Snake @Midnight_Furie @MariaBF1… https://t.co/pjc1klwEGI,"RT @theoffensivenu1: @mattxiv “—And we’ll call the day Jesus died Good Friday” 
Jesus: https://t.co/lEqxUGVVFi",RT @sadgirlririh: Im the foo in April fools https://t.co/hnz89osa9l
129,RT @Reuters: Swimmers at a pool in southeast London said they were extremely happy to once again be able to do something they love after st…,RT @MiamiHerald: Gov. DeSantis issued an executive order Friday that prohibits businesses from requiring customers to provide any documenta…,"@LottieStarshot Don't apologise, that was grade A April fooling!"
130,"Well.... Home Town Heroes @krispykreme will see your complaints about free #doughnuts, and raise you 8 additional f… https://t.co/Tp0voZe2Oe","RT @fakeshoredrive: Happy GOOD Friday

Here’s your yearly reminder that we still need every GOOD Friday release on every streaming platform…",RT @giantwolfsupply: Please don’t buy anything haha April fools please go buy something
131,"RT @NorthernComd_IA: #SaturdayIsHere

Let's #Caption this photograph. Best caption gets a retweet on Monday evening.

#CanYouReadMyMind
#In…",Checking out the volumes this beautiful friday night and altcoins/try pairs are among the top traded coins at binan… https://t.co/Dj1OT2Vq19,RT @Twitter: a thread of funny april fools' jokes:
132,"RT @Reuters_Health: Moderna Inc said on Monday it has shipped 100 million doses of its COVID-19 vaccine to the United States, of which 88 m…","RT @LeaderMcConnell: I am heartbroken that Officer Evans was killed today in the line of duty. On this Good Friday, let's all pray for heal…",RT @PsychTory1: Your April will be all about ? https://t.co/i3BIfoPyl8
133,Thanks to @BNBuzz for sharing this great virtual book talk with @BarackObama and @Isabelwilkerson. It was a thoroug… https://t.co/8KmxVqomdo,"RT @NASA: Wind down your Friday with skywatching tips! 🔭⭐️ 

April is the perfect month to see the constellation Leo, snap a picture of Sat…",@ellle_em “April fools?” In reference to a casting announcement that I would like to be true
134,RT @HNGrindX3: It’s Monday Join us tonight 6pm PST with @BettingInHeels @XkalcammyP @MaddenThejo on Hu$tleNGrind with amazing Host from Pic…,"RT @TrevDon: Good Friday marks the day when wrath and mercy met at the cross. That’s why Good Friday is so dark yet so Good. #GoodFriday ""I…","RT @arsramay: hi april 
wish you happie 
take care of yourself 
and please don’t cry 

🥛🪥⭐️"
135,"One week from today it all begins..... Are you a runner? Jumper? Thrower? Experienced athletes and new athletes, ev… https://t.co/hfmYEN5pws",RT @AMGGoddessKat: It’s Friday where’s my checks 😈🙋🏼‍♀️🥺🥺🥺🥺 #rt if I look pretty I want a four digit tribute from a lucky boy https://t.co/…,RT @morsmutual_: No way @RockstarGames announced GTA6 on April fools day!!! WTFF😱https://t.co/PLPsRcsPe1
136,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,RT @pastoramaury: I am honored to have joined the vigil of Passover Friday and Good Friday in favor of excluded workers and a Workers Bailo…,"The one-shot vaccine dose is expected to be a game-changer in California, but a giant manufacturing error could cau… https://t.co/e4j5qiOd59"
137,"RT @TheTweetOfJohn: Lara Trump is joining the cable channel as a paid on-air contributor, the network announced on Monday. https://t.co/j6c…",RT @soieange: Friday mood https://t.co/d2NsKwurlT,RT @thechevypickup: april fools the holiday was a scam invented to sell more fools
138,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,it's a towa-stream-and-chipotle kind of friday,RT @mabintou: Praying over April. May it be a peaceful month full of prosperity &amp; blessings. May the new season mark the start of positive…
139,RT @iHeartRadio: Happy Monday! Hope your week is as beautiful &amp; flawless like @agnezmo ✨ https://t.co/xh5BiffTCn,"RT @ChatahSpots: Another Friday, another weekend of adventure! 🌸
#FursuitFriday 
📸 @SterlingTheLion / Me as Kane 😺 https://t.co/A0APdPcv52",RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
140,RT @_Silvervale_: Happy headpats to bless your timeline. I hope you have a good Monday! You've been doing such a great job and you deserve…,"RT @PeeksKyra: Good Friday. Thank you, God for sending your son. 🥺","RT @TheSizzleReport: Here is my list of April fools:

Josh Hawley
Ted Cruz
Kevin McCarthy
Lindsey Graham
Ron Johnson
Mo Brooks
Jim “Gym”Jor…"
141,RT @AdrienneMaloof: Monday Mantra 🙌🏼✨💫#whatcomesaroundgoesaround https://t.co/Smzcj3K2x7,@andrewklavan excellent appearance today on the news.  Will check out your friday 'cast this weekend.,"RT @Absolutehero69: 2nd April 2011
Kerr, Ronan (25)
Police Service Northern Ireland 
Killed by ucbt outside his home in Killyclogher near O…"
142,"RT @zachkruse2: Morgan Burnett, who had the interception return for a TD that clinched the Packers' berth in Super Bowl XLIX, retired Monda…",RT @FumoNoNichijou: It's Fumo Friday! You made it! https://t.co/vIRj3HkR4m,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
143,RT @mCrowd: Parents concerned about helping their children with “new math” will soon be panicked because they know nothing about their 7yo…,"RT @sergeivote: FRIDAY'S BEST

@michelle_spenc 
@radio_martin 
@Gemini21BLM 
@spiritdance33 
@Texy_Liz @4a_of 
@PrezLives2022 
@listopara20…","WATCH: Pope Francis holds Easter Sunday Mass at the Vatican. Tune in to celebrate this Sunday, April 4 from 7:30 am… https://t.co/XSN8PQErX5"
144,Volcanic eruption in Iceland! Live - monday 29th https://t.co/p25nKEdzzT via @YouTube,RT @JJKPerfectShots: The first Friday without Jujutsu Kaisen... https://t.co/390WQgVjOx,April Fools in Verdansk |HWB| |JMOB| LFG https://t.co/oCj4U4CKju
145,RT @A_Sheranko97: Monday Figure Photo Shoot! Featuring the new @YaOnlyLivvOnce !!! #wwe #WrestlingFigures #figphotography #livmorgan https:…,RT @JvlioS: Congratulations sailor you made it to Friday,Get Ready for RiseUp Sports Tournaments April 24th Boys &amp; Girls 4th-12th @RiseUpSportsUSA https://t.co/IMSuKFZxO7
146,"RT @OctoberFerguson: Happy Monday.

I just got home from my windy 12 hour shift, now off to do a mess of shit. Long day getting longer. 

P…","RT @FriskyFridayTgs: I wouldn’t already be in my PJs this early on a Friday night 

#IfIWere16Again",3 things to lookout for to make sure you don’t get pranked on April Fools Day https://t.co/EBWk0zZcQy
147,"RT @the49thstreet: Monday Motivation: The Rise of Bella Shmurda 

• Released one of the best EPs of 2020 (High Tension) 🥇
• Dropped one of…",RT @onsitekiller: Yoooo It's Friday Night Verdansk Drive By Time! Come Hang Out And Chat! #smallstreamersupport #SupportSmallStreams #suppo…,RT @ametotaiyou_art: happy april fools~ i dont have a joke drawing but i do have scary looking #nobarakugisaki from #jjk #jujutsukaisenfana…
148,Florida and Georgia soccer played to a 1-1 double overtime tie Monday afternoon at the Atlanta Soccer Park https://t.co/CqBb9Tz3N5,"Friday Night Live | The Shah Indictment &amp; Arraignment, Nike, Girardi &amp; Y... https://t.co/cq9hAqOW8a via @YouTube",The Ignition Milly runs on April 11th! Get your spot by playing one of the many sattelites running every day! Sign… https://t.co/zTktReY370
149,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,RT @JoelMPeterson: On the Friday before Spring Break kids are engaged in learning. #alwayslearning #alwaysgrowing Great job @MsLauraFey1! @…,RT @MikkuSushi: no april fools jokes from me...just Nessa drawings https://t.co/lJ795BE5Gd
150,RT @SuperRADLemon: Thanks for the hunts tonight everyone!! See you on Monday! https://t.co/WmT1SHdRAr,RT @gonzo7626: Happy Friday Errbody!!! Lets kick it!! Cheers!! 🍻🎶🎶🎶 https://t.co/zWSxTGH20o,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
151,Cool calm Monday,I assume it’s meant to be more than a reminder what day it is because anyone who cares that it is Good Friday will already know. /2,"RT @TheAnimatedBat: Alfred: ""Rough night of crime fighting, sir""

Bruce: ""Very.""

Alfred: ""Well, you'll be happy to know I've drawn you a b…"
152,RT @barstoolsports: Nothing gets a Monday going like a 75 thousand dollar bet on the Baylor Lady Bears @gopuff https://t.co/35gWcE90Jy,"RT @Pablo_Nase11: Statistically speaking, we can only reach 35k streams per day assuming that we got 35k streams yesterday I doubt dahil go…",RT @thaboyjozu: It’s April but the only fool is me
153,RT @DemocracyInn: BREAKING: Georgia Gov. Brian Kemp (R) is in quarantine after recent exposure to an individual who tested positive for COV…,@DannoWitness @Josh_brown31 @kirkmin @kirkminshow @BigSteve207 I felt fantastic until I saw this hot take. This ran… https://t.co/izsuLmmt56,"RT @Nikes11075978: UPDATE: The Travis Scott x Air Jordan 6 ""British Khaki"" may be releasing on April 29th 👀 Are they a must cop or easy pas…"
154,Dang Its Monday Again!!  !subcount !raze !lurk !prime !socials !giveaway https://t.co/ZUCNBJtSOU,"RT @DrTomFrieden: I had planned to stop Friday night threads, but couldn’t help sharing thoughts on this week’s developments—there have bee…","RT @TradingTank: $BTC.D Bitcoin dominance update.
Losing the 60 level takes us down to around 57. That's a huge drop on its own, but if it…"
155,"RT @Biggity04: Monday Stack Sale
Lot 9
$0.50 each 

1-4 cards $1 PWE
5+ cards $4 BMWT
@HobbyConnector @Hobby_Connect @sports_sell https://t…",It’s Good Friday before Easter 🌿🌿,RT @kicksonfire: The Air Jordan 5 Raging Bull returns on April 10 in full family sizing. https://t.co/7HcEV9xgBf
156,"A little radiology humor to start your week off with a smile. Monday everyone! 🧡

https://t.co/rzZXvuj1Md
#TGIM… https://t.co/cF21BJ6oo7",RT @ronniejordan: Every Friday is #GoodFriday if you’re breathing..........🙏🏾 #BlessedAF https://t.co/SwssWXtovz,RT @heav3nsbrat: Mfs on here talking about April fools like they don’t lie every day
157,hello monday✨ https://t.co/5pfct0Yd1k,RT @ultrakillblast: Friday. https://t.co/bjPI3ZkVly,RT @minjimouse_art: Look what I found buried in my WIP folder! Does anyone still remember this Rust fit.....? 😅 Forgot to post it then and…
158,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,Happy Friday y’all! Enjoy a sunset 😌✨ https://t.co/jJPvomTdbW,RT @_yoitdes: happy april fools to all the fools that lost a girl like me &lt;3
159,@joroulette Elon said IMMEDIATELY that they would try again on Monday. He tweeted it in the afternoon of the 26th. I call shenanigans!,"RT @LasVegasFreeze: 🔥🔥$1000 GIVEAWAY🔥🔥

$200 to 5 people who LIKE/RT/FOLLOW MYSELF &amp; @purewage5 

We do giveaways every single Friday to gi…",RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
160,Walking around my place muttering to myself about that #isles period. After screaming at the tv like a raving lunat… https://t.co/CP1x0zV1RQ,RT @kitty_kelliher: I'm glad to see that most people's reaction to @nadhimzahawi branding Good Friday with the Tory logo was this https://t…,RT @UberFacts: Pornhub displayed a message that said it automatically shared the video you were watching on social media for April Fools da…
161,No one wants to watch bulletproof at 7 on a Monday! Bring back All American 😤,RT @MrAndyNgo: The man responsible for the deadly Good Friday Capitol Hill attack was a devout follower of Louis Farrakhan &amp; the black nati…,RT @spofiee: I’m not big on April Fool’s so I’ll just post this self portrait of me trying to navigate social media today 😂 https://t.co/jr…
162,RT @highendhomo: me every Monday morning https://t.co/KcFI6ETagV,RT @MattBellassai: another friday night living out my wildest fantasies (sitting on couch rubbing stomach),cutting april fools stuff short JDGHBDJ now i vibe
163,"RT @dw1509: WATCH: @PiketonBaseball’s @malik_diack threw a 💎 on Monday. Nine strikeouts, two hits allowed and a shutout to begin his varsit…","RT @IrelandEmbUSA: ""History says, Don’t hope
On this side of the grave... 
But then, once in a lifetime 
The longed-for tidal wave
Of justi…","RT @Hyundai_Global: The exclusive #BehindtheScenes of #HyundaixBTS is coming to you on April 2nd, on Channel Hyundai. We’ve been collaborat…"
164,RT @WWE_MandyRose: Monday’s ... #RAW 💜 https://t.co/oTtNSlzgUn,"RT @stewartdantec: I am reading the gospels. It is Good Friday. Then Jesus cried again with a loud voice, the gospel writer says, and breat…",Do things seem off-kilter? It's typical of April Fool's Day or #COVID-life in general. Spend more time #outside… https://t.co/9L4qcDnK7N
165,"RT @jilevin: 911 dispatcher testifies officers pinned down George Floyd for so long she thought her video feed had frozen: ""My instincts we…",RT @JohnFugelsang: Good Friday is when we honor the most famous innocent brown-skinned man to ever be unjustly executed by the state. https…,"RT @user020182: yea   I Love April......   (i wanna d*e),,"
166,"Kings will start Fox, Haliburton, Hield, Barnes, Holmes on Monday.","RT @DemarJGrant: Here we go again, it's New Music Friday

https://t.co/CcQVJCdDax","RT @BichonToken: Don't be a fool this April 1st
Get in on our...

BICHON #minigame!

Follow+RT+Like @BichonToken and Tag 3 friends
👉Join #B…"
167,RT @XSEEDGames: IT’S FINALLY TIME! We love what Kehasuk built from the ground up. RT this post by 11:59PM on Monday 3/29 for your chance to…,7 hours of Bandcamp Friday left. We’ve got a new single available to download and our debut album on 12” Silver Vin… https://t.co/iKNQ9iuaHl,"RT @doykimzzz: ✨TGID: THANK GOD IT’S DOYOUNG DAY✨

📆 Friday, 2 April 2021
🐰 Theme: Doyoung &amp; Gongmyung

AAAA THEY'RE SO CUTE 😭😭😭😭😭

#NCT도영…"
168,"Monday Night Dust Bunny  (@MondayNight)  is on, replacing Cahaba Pale Ale","RT @SuxHypocrisy: 🚨WARNING: BE FULLY INFORMED🚨
The Good Friday Appeal is owned by News Corp (SEC Filing👇)
If News Corp paid tax, then Austr…","@pooowhom april 23rd, 3:07pm, Buckingham Palace🥶🥶🥶"
169,"RT @_PapiAce: I met this one girl on Monday, we talked all day and and the next and she wanted pizza from Chicago so that weekend I flew us…",RT @catherine___c: Oh no the deadly Good Friday attack on the Capitol wasn’t by a White Supremacist Trump supporter. Damn. Sorry leftist me…,Dodgers only lost as an April Fools day joke y’all
170,RT @AlainPag2: The Rolling Stones - Gimme Shelter (Vietnam footage) https://t.co/URGiW95bNY via @YouTube good morning happy Monday @ronniew…,Day 86; without @b_stayyfadded Good Friday was our thing! We’d be all up in the kitchen with mom. Helping her cook… https://t.co/kQYd4coVGS,"RT @Femi_Sorry: I had to check the news wasn't playing an April Fools prank by telling us about nazi police in the UK, THE DAY AFTER the go…"
171,"All adults are now eligible to receive a COVID-19 vaccine in Texas as of today Monday, March 29.… https://t.co/LKnMZdfghr",First Friday in the house in a long time 💆🏾‍♀️,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
172,RT @LvLUpLive: NOW LIVE! You made it though Monday! Now come hang out with @KourtsideKing and @Phiask0 to get all the latest #gaming and #e…,RT @JohnFugelsang: Good Friday is when we honor the most famous innocent brown-skinned man to ever be unjustly executed by the state. https…,RT @disneylandcats: It’s April. Humans are fools. The end.
